SlaT-3052-n4	permoveo	v#v-w1279_MPf2_MP	permoeuo-04	v#01764171			
3052a2	sum	v#v-w2_MPf118_MP	have-mod-91				
SlaT-3053-n1	invado	v#v-w733_MPf5_MP	inuado2-NEW-06	v#01380122	become distributed or widespread		
SlaT-3053-n6	pario	v#v-w746_MPf4_MP	pario2-07	v#01752884			
SlaT-3054-n2	festino	v#v-w860_MPf5_MP	festino-02	v#00459498			
SlaT-3054-n3	trepido	v#v-w837_MPf2_MP	trepido-01	v#00014034			
SlaT-3054-n4	credo	v#v-w146_MPf27_MP	credo-13	v#02664017			
SlaT-3054-n15	gero	v#v-w570_MPf3_MP	gero-15	v#02445509			
SlaT-3054-n18	habeo	v#v-w73_MPf15_MP	have-91				
SlaT-3054-n22	metior	v#v-w188_MPf2_MP	metior-04	v#00681429			
SlaT-3055-n4	incedo	v#v-w765_MPf5_MP	incedo-04	v#01992503			
SlaT-3055-n6	timor	v#v-w1104_MPf3_MP	timeo-01	v#01780202			
SlaT-3055-n12	afflicto	v#v-w1284_MPf1_MP	afflicto-04	v#01802689			
SlaT-3055-n14	tendo	v#v-w176_MPf18_MP	tendo-02	v#00101434			
SlaT-3055-n18	miseror	v#v-w1285_MPf1_MP	miseror-01	v#01821996			
SlaT-3055-n21	rogito	v#v-w1286_MPf2_MP	rogito-01	v#00784342			
SlaT-3055-n23	paveo	v#v-w1287_MPf2_MP	paueo-01	v#01780202			
SlaT-3055-n26	arripio	v#v-w1288_MPf1_MP	arripio-13	v#01212572			
SlaT-3055-n28	diffido	v#v-w1289_MPf1_MP	diffido-01	v#00687926			
SlaT-3055-n29	omitto	v#v-w659_MPf3_MP	omitto-13	v#02228031			
SlaT-3056-n2	moveo	v#v-w360_MPf34_MP	moueo-07/moueo-09	v#00630380/v#00813044			
SlaT-3056-n9	paro	v#v-w572_MPf14_MP	paro-01	v#00406243			
SlaT-3056-n11	interrogo	v#v-w742_MPf3_MP	interrogo-NEW-07	v#00842989	bring an accusation against; level a charge against		
SlaT-3057-n1	venio	v#v-w34_MPf6_MP	uenio-07	v#02005948			
SlaT-3057-n3	causa	v#v-w258_MPf9_MP					
SlaT-3057-n5	dissimulo	v#v-w932_MPf3_MP	dissimulo-06	v#02146790			
SlaT-3057-n6	expurgo	v#v-w1290_MPf1_MP	expurgo-04	v#00904494			
SlaT-3057-n8	lacesso	v#v-w908_MPf2_MP	lacesso-07	v#01120069			
SlaT-3058-n1	habeo	v#v-w73_MPf16_MP	habeo-NEW-24	v#00989602	deliver (a speech, oration, or idea)		
SlaT-3058-n8	timeo	v#v-w567_MPf3_MP	timeo-01	v#01780202			
SlaT-3058-n11	commoveo	v#v-w839_MPf2_MP	commoueo-05/commoueo-06	v#00851239/v#00851625			
SlaT-3058-n16	utilis	v#v-w956_MPf4_MP					
SlaT-3058-n19	edo^editum	v#v-w1291_MPf1_MP	edo2-04	v#00967625			
SlaT-3058-n22	scribo	v#v-w603_MPf8_MP	scribo-05	v#01020356			
SlaT-3059-n2	coepio	v#v-w575_MPf2_MP	coepio-01	v#00345761			
SlaT-3059-n3	assido	v#v-w1292_MPf1_MP	assido-03	v#01984902			
SlaT-3059-n6	paro	v#v-w572_MPf20_MP	paro-01	v#00406243			
SlaT-3059-n7	dissimulo	v#v-w932_MPf4_MP	dissimulo-06	v#02146790			
SlaT-3059-n11	demitto	v#v-w781_MPf2_MP	demitto-19	v#02037683			
SlaT-3059-n14	postulo	v#v-w768_MPf4_MP	postulo-01	v#00752764			
SlaT-3059-n16	credo	v#v-w146_MPf11_MP	credo-02	v#00683280			
3060a1	coepio	v#v-w575_MPf2_MP	coepio-01	v#00345761			
3060a3	postulo	v#v-w768_MPf8_MP	postulo-01	v#00752764			
SlaT-3060-n1	instituo	v#v-w554_MPf4_MP	instituo-01	v#00406243			
SlaT-3060-n2	orior	v#v-w612_MPf5_MP	orior-03/orior-04	v#00360932/v#00361208			
SlaT-3060-n9	habeo	v#v-w73_MPf15_MP	habeo-NEW-25	TBD	hold or keep a person or thing in any condition or quality; [WN] cause to continue in a certain state, position, or activity		
