SlaT-2773-n2	nitor	v#v-w332_MPf14_MP	nitor-06	v#02531199	
SlaT-2773-n5	studeo	v#v-w1034_MPf3_MP	studeo-NEW-07	v#01828405	desire strongly or persistently
SlaT-2773-n7	praesto	v#v-w581_MPf5_MP	praesto2-06	v#02673965	
SlaT-2773-n13	transeo	v#v-w579_MPf5_MP	transeo-15	v#02708420	
SlaT-2773-n17	fingo	v#v-w240_MPf4_MP	fingo-02	v#00142191	
SlaT-2773-n22	oboedio	v#v-w1106_MPf2_MP	oboedio-NEW-01	v#02542795	be obedient to
SlaT-2774-n2	sino	v#v-w719_MPf4_MP			
SlaT-2775-n1	utor	v#v-w28_MPf8_MP	utor-03	v#01158872	
2776a1	sum	v#v-w2_MPf99_MP	have-mod-91		
2776a2	communis	v#v-w937_MPf4_MP			
SlaT-2776-n5	sum	v#v-w2_MPf99_MP	have-mod-91		
SlaT-2776-n7	communis	v#v-w937_MPf4_MP			
SlaT-2777-n1	video	v#v-w16_MPf56_MP	uideo-10	v#02133435	
2777a1	video	v#v-w16_MPf56_MP	uideo-10	v#02133435	
2777a3	quaero	v#v-w482_MPf11_MP	quaero-15	v#02153709	
SlaT-2777-n7	quaero	v#v-w482_MPf11_MP	quaero-15	v#02153709	
SlaT-2777-n11	efficio	v#v-w476_MPf5_MP	efficio-02	v#00120675	
SlaT-2777-n12	sum	v#v-w2_MPf104_MP	have-mod-91		
SlaT-2777-n15	fruor	v#v-w793_MPf4_MP	fruor-04	v#02110793	
SlaT-2777-n18	memoria	v#v-w1107_MPf2_MP	memoria-06	n#05935060	
SlaT-2778-n3	sum	v#v-w2_MPf151_MP	have-mod-91		
SlaT-2778-n9	fluo	v#v-w741_MPf3_MP	fluo-17	v#02066510	
SlaT-2778-n11	habeo	v#v-w73_MPf51_MP	habeo-07	v#00689950	
SlaT-2779-n2	sum	v#v-w2_MPf115_MP	exist-91		
SlaT-2779-n4	certamen	v#v-w1108_MPf4_MP	certamen-08	n#07181935	
SlaT-2779-n7	procedo	v#v-w85_MPf42_MP	procedo-21	v#02624263	
2780a1	opus	v#v-w1019_MPf3_MP	opus-23	n#09367203	
